exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M,eta,energy_error_final,energy_error_worst
bin/cuda_memcpy_shmem,1024,2.2027508470000003e+00,7794,2.8262135578650246e-04,1.8746070594519668e+09,8.2482710615886536e+10,32,32,5.0000000000000000e-01,-6.4846493054065686e-04,-6.4846493054065686e-04
bin/cuda_memcpy_shmem,1024,4.0403963740000002e+00,16042,2.5186363134272534e-04,2.0922748486755273e+09,9.2060093341723206e+10,32,32,2.5000000000000000e-01,1.1563053475716986e-06,1.7421935710802270e-06
bin/cuda_memcpy_shmem,1024,7.7366764790000007e+00,32424,2.3860956325561314e-04,2.2028200060141096e+09,9.6924080264620819e+10,32,32,1.2500000000000000e-01,-9.0808270431783692e-07,-9.0808270431783692e-07
bin/cuda_memcpy_shmem,1024,3.3452936570000000e+00,7822,4.2767753221682433e-04,1.2387469612208097e+09,5.4504866293715630e+10,32,64,5.0000000000000000e-01,-5.4052480151905579e-04,-5.4371916483977336e-04
bin/cuda_memcpy_shmem,1024,6.4788724070000008e+00,16296,3.9757439905498289e-04,1.3253523645136971e+09,5.8315504038602676e+10,32,64,2.5000000000000000e-01,-1.6017551661512689e-06,-4.1300387601703335e-06
bin/cuda_memcpy_shmem,1024,1.2522387653000001e+01,32444,3.8596929025397613e-04,1.3618003180020225e+09,5.9919213992088989e+10,32,64,1.2500000000000000e-01,2.3901236552953585e-07,2.4529744084471439e-07
bin/cuda_memcpy_shmem,1024,2.4250012747000003e+01,63803,3.8007637175367935e-04,1.3812008772714398e+09,6.0772838599943352e+10,32,64,6.2500000000000000e-02,1.1281444539510996e-08,1.4703883258782700e-08
bin/cuda_memcpy_shmem,1024,3.9273366170000004e+00,7976,4.9239425990471423e-04,1.0757195310717108e+09,4.7331659367155273e+10,64,64,5.0000000000000000e-01,-1.5065849263666054e-03,-1.5168886578420583e-03
bin/cuda_memcpy_shmem,1024,7.2909662700000002e+00,15901,4.5852249984277719e-04,1.1493257263416197e+09,5.0570331959031265e+10,64,64,2.5000000000000000e-01,5.9704371675228240e-07,3.3955788950931393e-06
bin/cuda_memcpy_shmem,1024,1.4417634005000000e+01,32538,4.4310142003196261e-04,1.1862053478447971e+09,5.2193035305171074e+10,64,64,1.2500000000000000e-01,2.2964064448252126e-07,2.3727975054252917e-07
bin/cuda_memcpy_shmem,1024,2.9609879327000002e+01,67693,4.3741419832183536e-04,1.2000595749675477e+09,5.2802621298572098e+10,64,64,6.2500000000000000e-02,1.7302846172676084e-08,1.7565025457102908e-08
bin/cuda_memcpy_shmem,1024,5.6368739729000005e+01,129767,4.3438424043863234e-04,1.2077309664770772e+09,5.3140162524991402e+10,64,64,3.1250000000000000e-02,5.9507761202552945e-10,9.4493784932293797e-10
bin/cuda_memcpy_shmem,1024,1.1193639866800001e+02,258431,4.3313843411974575e-04,1.2108238728136458e+09,5.3276250403800415e+10,64,64,1.5625000000000000e-02,3.9505990032333798e-11,6.1127716843835144e-11
bin/cuda_memcpy_shmem,1024,2.2526886022000002e+02,521377,4.3206520467914774e-04,1.2136373217541020e+09,5.3400042157180489e+10,64,64,7.8125000000000000e-03,2.6823520391080166e-12,4.3841531847781912e-12
bin/cuda_memcpy_shmem,1024,4.5451008900400001e+02,1051918,4.3207748988419251e-04,1.2135065630966575e+09,5.3394288776252930e+10,64,64,3.9062500000000000e-03,7.0687256451285159e-13,7.0687256451285159e-13
