exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M,dt,energy_error_final,energy_error_worst
bin/cuda_memcpy_shmem,1024,4.3883055400000004e-01,640,6.8567274062500004e-04,1.5292659863424184e+09,3.3643851699533207e+10,32,32,1.5625000000000000e-02,-8.5819410054333977e-03,-9.4327075984764249e-03
bin/cuda_memcpy_shmem,1024,5.7016966899999999e-01,1280,4.4544505390625000e-04,2.3539962803598380e+09,5.1787918167916435e+10,32,32,7.8125000000000000e-03,3.1670661144160708e-04,9.5567652230083900e-04
bin/cuda_memcpy_shmem,1024,8.3766250800000008e-01,2560,3.2721191718750004e-04,3.2045776602908430e+09,7.0500708526398544e+10,32,32,3.9062500000000000e-03,2.8221606915452112e-05,1.7403117082083434e-04
bin/cuda_memcpy_shmem,1024,1.3928489470000001e+00,5120,2.7204080996093749e-04,3.8544805102975750e+09,8.4798571226546646e+10,32,32,1.9531250000000000e-03,4.6973822326171762e-06,7.3690885441705790e-05
bin/cuda_memcpy_shmem,1024,2.4238396500000001e+00,10240,2.3670309082031251e-04,4.4299210304609051e+09,9.7458262670139908e+10,32,32,9.7656250000000000e-04,1.1344576979513678e-06,9.6624801521649235e-06
bin/cuda_memcpy_shmem,1024,4.4671879710000004e+00,20480,2.1812441264648441e-04,4.8072381595334482e+09,1.0575923950973586e+11,32,32,4.8828125000000000e-04,6.3569207104837971e-07,3.2727634769700381e-06
bin/cuda_memcpy_shmem,1024,8.6004694520000005e+00,40960,2.0997239873046876e-04,4.9938754157207365e+09,1.0986525914585620e+11,32,32,2.4414062500000000e-04,6.4762047348965714e-07,9.4605432768496956e-07
bin/cuda_memcpy_shmem,1024,1.6873369528000001e+01,81920,2.0597374912109377e-04,5.0908234883054590e+09,1.1199811674272009e+11,32,32,1.2207031250000000e-04,-8.4273739203973495e-07,-1.0857510567654103e-06
bin/cuda_memcpy_shmem,1024,3.3223531589000004e+01,163840,2.0278034417114260e-04,5.1709942809596109e+09,1.1376187418111143e+11,32,32,6.1035156250000000e-05,-1.2913330391881471e-06,-1.3686402803298748e-06
bin/cuda_memcpy_shmem,1024,6.6065881628000000e+01,327680,2.0161707039794921e-04,5.2008294631517754e+09,1.1441824818933905e+11,32,32,3.0517578125000000e-05,3.4477301980419168e-06,4.3874029011133465e-06
bin/cuda_memcpy_shmem,1024,2.0260495720000002e+00,5120,3.9571280703125004e-04,2.6498409487090278e+09,5.8296500871598610e+10,32,64,1.9531250000000000e-03,3.6918022589274400e-06,5.7527921542716757e-05
bin/cuda_memcpy_shmem,1024,3.3364264840000004e+00,10240,3.2582289882812502e-04,3.2182391224538665e+09,7.0801260693985062e+10,32,64,9.7656250000000000e-04,8.5175615186972910e-07,9.9940738290767933e-06
bin/cuda_memcpy_shmem,1024,6.3480240100000005e+00,20480,3.0996210986328128e-04,3.3829167070210872e+09,7.4424167554463913e+10,32,64,4.8828125000000000e-04,3.1859328716039671e-07,3.6267411913563323e-06
bin/cuda_memcpy_shmem,1024,1.2237468695000000e+01,40960,2.9876632556152344e-04,3.5096860331539340e+09,7.7213092729386551e+10,32,64,2.4414062500000000e-04,6.3920978291750738e-08,6.2015929299865252e-07
bin/cuda_memcpy_shmem,1024,2.4075743739000000e+01,81920,2.9389335618896487e-04,3.5678792252989764e+09,7.8493342956577484e+10,32,64,1.2207031250000000e-04,2.0564875658226477e-08,1.4368538675509361e-07
bin/cuda_memcpy_shmem,1024,4.7756520702000003e+01,163840,2.9148267030029300e-04,3.5973871068208957e+09,7.9142516350059708e+10,32,64,6.1035156250000000e-05,6.3609131577592605e-09,4.0917164443633732e-08
bin/cuda_memcpy_shmem,1024,9.5153630525000011e+01,327680,2.9038583534240727e-04,3.6109750283224936e+09,7.9441450623094864e+10,32,64,3.0517578125000000e-05,1.4188768926444759e-09,1.3597528334420336e-08
bin/cuda_memcpy_shmem,1024,1.9004234660400002e+02,655360,2.8998160797729495e-04,3.6160086403897095e+09,7.9552190088573608e+10,32,64,1.5258789062500000e-05,1.5059239510321042e-09,4.0022184309588890e-09
bin/cuda_memcpy_shmem,1024,3.7975668906400000e+02,1310720,2.8973136067504885e-04,3.6191318660048027e+09,7.9620901052105652e+10,32,64,7.6293945312500000e-06,4.6995261965646331e-10,1.4376406173442801e-09
bin/cuda_memcpy_shmem,1024,7.5948656039500008e+02,2621440,2.8972113052177432e-04,3.6192596588021150e+09,7.9623712493646530e+10,32,64,3.8146972656250000e-06,9.9377190847893666e-10,1.7224543386742905e-09
bin/cuda_memcpy_shmem,1024,9.3297587170000007e+00,20480,4.5555462485351566e-04,2.3017568976216002e+09,5.0638651747675201e+10,64,64,4.8828125000000000e-04,3.2670657620922853e-07,2.7025442910632321e-06
bin/cuda_memcpy_shmem,1024,1.7933063021000002e+01,40960,4.3781892141113286e-04,2.3949992764596329e+09,5.2689984082111923e+10,64,64,2.4414062500000000e-04,8.2305926412998170e-08,7.3489397533533971e-07
bin/cuda_memcpy_shmem,1024,3.5413182728000002e+01,81920,4.3228982822265629e-04,2.4256319060552077e+09,5.3363901933214569e+10,64,64,1.2207031250000000e-04,1.4789655680497142e-08,1.7624576748836087e-07
bin/cuda_memcpy_shmem,1024,7.0342000225000007e+01,163840,4.2933349746704103e-04,2.4423344700246615e+09,5.3731358340542557e+10,64,64,6.1035156250000000e-05,4.6508007010642728e-09,4.4938029806163642e-08
bin/cuda_memcpy_shmem,1024,1.4057396799000000e+02,327680,4.2899770504760740e-04,2.4442461758242640e+09,5.3773415868133812e+10,64,64,3.0517578125000000e-05,1.1597579063593599e-09,1.1302776677901012e-08
bin/cuda_memcpy_shmem,1024,2.8055132620500001e+02,655360,4.2808735077667237e-04,2.4494440167353334e+09,5.3887768368177338e+10,64,64,1.5258789062500000e-05,3.7026426875119371e-10,3.2867863822473678e-09
bin/cuda_memcpy_shmem,1024,5.5992401689100006e+02,1310720,4.2718812323837285e-04,2.4546000765449419e+09,5.4001201683988724e+10,64,64,7.6293945312500000e-06,6.8734057982648783e-11,7.8774172581072173e-10
bin/cuda_memcpy_shmem,1024,1.1198899459620000e+03,2621440,4.2720411146621705e-04,2.4545082124822216e+09,5.3999180674608871e+10,64,64,3.8146972656250000e-06,2.3031834390054374e-11,2.0615947893788099e-10
