exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M
bin/cuda_memcpy_shmem,1024,1.5364044790000000e+00,8192,1.8754937487792969e-04,5.5909330579346743e+09,2.4600105454912567e+11,32,32
bin/cuda_memcpy_shmem,2048,1.4690628630000000e+00,4096,3.5865792553710937e-04,1.1694441141148090e+10,5.1455541021051599e+11,32,32
bin/cuda_memcpy_shmem,4096,1.4633577280000001e+00,2048,7.1453014062500004e-04,2.3480067594244461e+10,1.0331229741467563e+12,32,32
bin/cuda_memcpy_shmem,8192,1.4615726840000001e+00,1024,1.4273170742187501e-03,4.7017488413870766e+10,2.0687694902103137e+12,32,32
bin/cuda_memcpy_shmem,16384,1.4606508200000001e+00,512,2.8528336328125002e-03,9.4094325344643280e+10,4.1401503151643042e+12,32,32
bin/cuda_memcpy_shmem,32768,1.4599059870000002e+00,256,5.7027577617187507e-03,1.8828466311646133e+11,8.2845251771242988e+12,32,32
bin/cuda_memcpy_shmem,65536,1.4579376420000001e+00,64,2.2780275656250001e-02,1.8853886409498438e+11,8.2957100201793125e+12,32,32
bin/cuda_memcpy_shmem,131072,2.1867399460000003e+00,32,6.8335623312500010e-02,2.5140429473272168e+11,1.1061788968239754e+13,32,32
bin/cuda_memcpy_shmem,262144,1.8233055950000001e+00,8,2.2791319937500001e-01,3.0151600225194281e+11,1.3266704099085484e+13,32,32
bin/cuda_memcpy_shmem,524288,1.8226175980000001e+00,2,9.1130879900000006e-01,3.0162981773645752e+11,1.3271711980404131e+13,32,32
bin/cuda_memcpy_shmem,1048576,3.4739790860000004e+00,1,3.4739790860000004e+00,3.1649920755337555e+11,1.3925965132348523e+13,32,32
bin/cuda_memcpy_shmem,2097152,1.3890207693000001e+01,1,1.3890207693000001e+01,3.1662928361542102e+11,1.3931688479078525e+13,32,32
bin/cuda_memcpy_shmem,4194304,5.5556751086000006e+01,1,5.5556751086000006e+01,3.1665253458007074e+11,1.3932711521523113e+13,32,32
bin/cuda_memcpy_shmem,1024,1.3198439440000000e+00,4096,3.2222752539062501e-04,3.2541478221913180e+09,1.4318250417641800e+11,32,64
bin/cuda_memcpy_shmem,2048,1.2724013430000001e+00,2048,6.2128971826171879e-04,6.7509631605285091e+09,2.9704237906325439e+11,32,64
bin/cuda_memcpy_shmem,4096,1.2633664690000002e+00,1024,1.2337563173828127e-03,1.3598484371362556e+10,5.9833331233995251e+11,32,64
bin/cuda_memcpy_shmem,8192,1.2699442070000000e+00,512,2.4803597792968750e-03,2.7056100715769478e+10,1.1904684314938569e+12,32,64
bin/cuda_memcpy_shmem,16384,1.2642698390000000e+00,256,4.9385540585937500e-03,5.4355070900334908e+10,2.3916231196147358e+12,32,64
bin/cuda_memcpy_shmem,32768,1.2603300800000001e+00,128,9.8463287500000010e-03,1.0904996687217049e+11,4.7981985423755010e+12,32,64
bin/cuda_memcpy_shmem,65536,1.2585596720000001e+00,32,3.9329989750000002e-02,1.0920336677687540e+11,4.8049481381825176e+12,32,64
bin/cuda_memcpy_shmem,131072,1.8880549870000001e+00,16,1.1800343668750000e-01,1.4558787155916663e+11,6.4058663486033320e+12,32,64
bin/cuda_memcpy_shmem,262144,1.5743001150000000e+00,4,3.9357502875000000e-01,1.7460324389546271e+11,7.6825427314003594e+12,32,64
bin/cuda_memcpy_shmem,524288,1.5741582980000002e+00,1,1.5741582980000002e+00,1.7461897402137888e+11,7.6832348569406709e+12,32,64
bin/cuda_memcpy_shmem,1048576,5.9847957800000007e+00,1,5.9847957800000007e+00,1.8371748480547150e+11,8.0835693314407461e+12,32,64
bin/cuda_memcpy_shmem,2097152,2.3936424438000003e+01,1,2.3936424438000003e+01,1.8373865831531339e+11,8.0845009658737891e+12,32,64
bin/cuda_memcpy_shmem,4194304,9.5725608719000007e+01,1,9.5725608719000007e+01,1.8377721781908325e+11,8.0861975840396631e+12,32,64
bin/cuda_memcpy_shmem,1024,1.5647148680000000e+00,4096,3.8201046582031251e-04,2.7448881478897023e+09,1.2077507850714690e+11,64,64
bin/cuda_memcpy_shmem,2048,1.5071968390000001e+00,2048,7.3593595654296881e-04,5.6992785346466608e+09,2.5076825552445306e+11,64,64
bin/cuda_memcpy_shmem,4096,1.5047867910000001e+00,1024,1.4695183505859376e-03,1.1416812857975172e+10,5.0233976575090759e+11,64,64
bin/cuda_memcpy_shmem,8192,1.5041350730000000e+00,512,2.9377638144531251e-03,2.2843519165781727e+10,1.0051148432943960e+12,64,64
bin/cuda_memcpy_shmem,16384,1.5028741010000002e+00,256,5.8706019570312507e-03,4.5725371599839684e+10,2.0119163503929460e+12,64,64
bin/cuda_memcpy_shmem,32768,1.5030355370000001e+00,128,1.1742465132812501e-02,9.1440920782433899e+10,4.0234005144270918e+12,64,64
bin/cuda_memcpy_shmem,65536,1.5012649440000001e+00,32,4.6914529500000003e-02,9.1548766272930435e+10,4.0281457160089390e+12,64,64
bin/cuda_memcpy_shmem,131072,2.2521756770000003e+00,16,1.4076097981250002e-01,1.2204994030934114e+11,5.3701973736110098e+12,64,64
bin/cuda_memcpy_shmem,262144,1.8780742400000001e+00,4,4.6951856000000003e-01,1.4636157670955542e+11,6.4399093752204385e+12,64,64
bin/cuda_memcpy_shmem,524288,1.8799857760000001e+00,1,1.8799857760000001e+00,1.4621275886929901e+11,6.4333613902491562e+12,64,64
bin/cuda_memcpy_shmem,1048576,7.1431042790000001e+00,1,7.1431042790000001e+00,1.5392630218327518e+11,6.7727572960641074e+12,64,64
bin/cuda_memcpy_shmem,2097152,2.8575533574000001e+01,1,2.8575533574000001e+01,1.5390951492523126e+11,6.7720186567101758e+12,64,64
bin/cuda_memcpy_shmem,4194304,1.1428256836700001e+02,1,1.1428256836700001e+02,1.5393586524868375e+11,6.7731780709420850e+12,64,64
